Name	Exposure
aquarius_II	5.4800000E+11
bootes_I	6.1010000E+11
bootes_II	6.0410000E+11
bootes_III	6.5230000E+11
canes_venatici_I	6.6970000E+11
canes_venatici_II	6.6570000E+11
canis_major	6.2880000E+11
carina	7.0210000E+11
carina_II	7.3790000E+11
carina_III	7.3740000E+11
cetus_II	5.7290000E+11
cetus_III	5.6080000E+11
columba_I	6.3120000E+11
coma_berenices	6.2000000E+11
crater_II	5.7240000E+11
draco	8.6710000E+11
draco_II	9.0640000E+11
eridanus_II	6.6610000E+11
eridanus_III	6.8400000E+11
fornax	6.2980000E+11
grus_I	6.3540000E+11
grus_II	6.1970000E+11
hercules	6.3760000E+11
horologium_I	7.0070000E+11
horologium_II	6.8400000E+11
hydra_II	6.0400000E+11
hydrus_I	7.0000000E+11
indus_II	6.2340000E+11
kim_2	6.4020000E+11
laevens_3	6.1800000E+11
leo_I	5.7420000E+11
leo_II	6.0340000E+11
leo_IV	5.5170000E+11
leo_T	5.8670000E+11
leo_V	5.5420000E+11
pegasus_III	5.6600000E+11
phoenix_II	6.6560000E+11
pictor_I	6.9580000E+11
pictor_II	7.4630000E+11
pisces_II	5.6420000E+11
reticulum_II	7.0720000E+11
reticulum_III	7.4040000E+11
sagittarius	6.0310000E+11
sagittarius_II	5.8980000E+11
sculptor	6.0620000E+11
segue_1	5.8410000E+11
segue_2	6.0230000E+11
sextans	5.5460000E+11
triangulum_II	6.5280000E+11
tucana_II	6.8740000E+11
tucana_III	6.9860000E+11
tucana_IV	7.0500000E+11
tucana_V	7.1110000E+11
ursa_major_I	7.4070000E+11
ursa_major_II	8.5240000E+11
ursa_minor	9.1600000E+11
virgo_I	5.5250000E+11
willman_1	7.3420000E+11
antlia_II	6.3990000E+11
balbinot_1	6.0060000E+11
bliss_1	6.3420000E+11
bootes_IV	7.4650000E+11
bootes_V	5.9230000E+11
centaurus_I	6.2720000E+11
delve_1	5.9480000E+11
delve_2	7.3950000E+11
delve_3	6.9690000E+11
delve_4	6.7980000E+11
delve_5	6.3380000E+11
des_1	6.4640000E+11
des_3	6.4570000E+11
des_4	7.5100000E+11
des_5	7.5240000E+11
des_sgr_1	5.6480000E+11
des_sgr_2	5.6460000E+11
eridanus_IV	5.7890000E+11
gaia_3	7.4360000E+11
hsc_1	5.6190000E+11
kim_1	5.7300000E+11
kim_3	6.0040000E+11
koposov_1	5.7820000E+11
koposov_2	6.1020000E+11
laevens_1	5.5800000E+11
leo_minor_I	6.2390000E+11
munoz_1	9.1430000E+11
pegasus_IV	6.4870000E+11
ps1_1	5.9860000E+11
segue_3	6.2890000E+11
smash_1	7.0220000E+11
torrealba_1	7.5180000E+11
virgo_II	5.9670000E+11
ymca_1	7.5670000E+11
ursa_III	6.3700232E+11
leo_VI	613376327680.0
